event,id,pt,eta,phi,momentum,mass
166,	-6000113,	74.2006,	1.24343,	-0.186386,	139.345,	15
167,	6000113,	82.4189,	-0.419848,	-1.04902,	89.7903,	15
167,	-6000113,	148.116,	0.227302,	-0.128899,	151.959,	15
168,	6000113,	56.1103,	0.854839,	2.90904,	77.8908,	15
168,	-6000113,	50.8068,	1.87282,	-0.211971,	169.194,	15
169,	6000113,	86.8367,	0.182604,	1.36339,	88.2885,	15
169,	-6000113,	124.375,	0.401239,	2.58313,	134.522,	15
170,	6000113,	33.0689,	-1.16135,	-2.00849,	57.9912,	15
170,	-6000113,	30.1132,	-3.59578,	0.529258,	549.137,	15
171,	6000113,	43.7583,	-0.201447,	-0.601261,	44.6492,	15
171,	-6000113,	50.3877,	1.56334,	1.27153,	125.571,	15
172,	6000113,	13.9808,	-0.754447,	0.30492,	18.1521,	15
172,	-6000113,	44.4351,	-3.33971,	1.96857,	627.567,	15
173,	6000113,	11.204,	1.45448,	2.16636,	25.2975,	15
173,	-6000113,	35.8241,	4.12461,	-1.0997,	1108.04,	15
174,	6000113,	42.8041,	2.66581,	-0.4428,	309.241,	15
174,	-6000113,	39.6553,	0.785758,	-3.08428,	52.5402,	15
175,	6000113,	39.8997,	-0.622504,	0.145708,	47.8834,	15
175,	-6000113,	47.5777,	-2.47972,	-1.94462,	285.983,	15
176,	6000113,	52.3349,	0.137154,	-2.22637,	52.8279,	15
176,	-6000113,	30.611,	2.09155,	0.741906,	125.826,	15
177,	6000113,	92.4266,	-2.49026,	-2.76276,	561.366,	15
177,	-6000113,	61.89,	-3.45771,	2.15788,	983.3,	15
178,	6000113,	48.9867,	-0.157558,	2.75126,	49.596,	15
178,	-6000113,	62.3163,	1.40875,	1.27461,	135.08,	15
179,	6000113,	24.445,	0.376108,	1.48024,	26.1944,	15
179,	-6000113,	31.1555,	3.05084,	-1.37506,	329.944,	15
180,	6000113,	5.82881,	-0.90053,	-1.11831,	8.35637,	15
180,	-6000113,	87.941,	2.02207,	0.128636,	337.971,	15
181,	6000113,	60.102,	-0.647795,	0.316674,	73.1597,	15
181,	-6000113,	63.3051,	-0.50229,	-2.54614,	71.4602,	15
182,	6000113,	53.3555,	1.67866,	-1.57239,	147.927,	15
182,	-6000113,	76.1571,	1.88137,	0.97985,	255.693,	15
183,	6000113,	131.808,	1.10117,	-1.96648,	220.131,	15
183,	-6000113,	84.7068,	0.479683,	-0.967494,	94.6404,	15
184,	6000113,	38.65,	-2.87356,	1.65874,	343.141,	15
184,	-6000113,	40.7463,	-0.841736,	-1.81376,	56.0538,	15
185,	6000113,	19.1357,	1.70581,	-1.85605,	54.4167,	15
185,	-6000113,	85.3439,	-0.493997,	-0.297744,	95.9707,	15
186,	6000113,	51.8055,	1.06338,	0.548956,	83.962,	15
186,	-6000113,	59.6461,	0.18859,	-2.44683,	60.7099,	15
187,	6000113,	71.8718,	2.26781,	-0.245957,	350.799,	15
187,	-6000113,	50.2646,	1.99995,	2.8078,	189.096,	15
188,	6000113,	89.3871,	2.13674,	-1.42831,	383.909,	15
188,	-6000113,	57.0544,	1.51151,	0.367523,	135.623,	15
189,	6000113,	104.665,	-2.34812,	0.830959,	552.704,	15
189,	-6000113,	34.1335,	-1.5387,	3.12017,	83.1698,	15
190,	6000113,	63.0052,	2.4937,	3.06017,	383.973,	15
190,	-6000113,	57.9843,	2.29112,	-0.149604,	289.549,	15
191,	6000113,	39.188,	0.252119,	0.645063,	40.4401,	15
191,	-6000113,	93.1557,	0.474124,	-2.43635,	103.824,	15
192,	6000113,	136.158,	-0.459759,	-0.409306,	150.803,	15
192,	-6000113,	157.897,	-0.232003,	-1.23286,	162.165,	15
193,	6000113,	89.1626,	-3.14753,	0.819771,	1039.7,	15
193,	-6000113,	40.8814,	-2.81941,	-2.59145,	343.949,	15
194,	6000113,	80.0816,	-2.70489,	0.816133,	601.392,	15
194,	-6000113,	42.8195,	-2.19456,	-2.12032,	194.561,	15
195,	6000113,	11.5997,	4.31862,	2.44134,	435.56,	15
195,	-6000113,	13.9131,	0.24395,	0.311636,	14.3291,	15
196,	6000113,	53.8375,	0.783764,	-0.723828,	71.2374,	15
196,	-6000113,	68.3739,	0.905404,	2.32329,	98.3665,	15
197,	6000113,	75.8203,	0.502828,	-2.54098,	85.6091,	15
197,	-6000113,	58.2393,	1.04413,	1.59084,	92.977,	15
198,	6000113,	50.0403,	1.9251,	2.9651,	175.183,	15
198,	-6000113,	33.5527,	-0.0931564,	-1.39027,	33.6984,	15
